Technology,Number_of_Jobs
blackbox,1
blanking,1
blasting,1
blaze,1
ble,1425
blended,57
blended process,42
blender,1
blending,2
blob storage,1
blog,131
blog posting,2
blog writing,15
blogger,4
blogging,6
blogs,30
blood bank,2
blood bank technician,1
blood collection,2
blood collection executive,1
bloomberg,18
blore,1
blow moulding,1
blowers,1
blown film,1
blue dart,1
blue pumpkin,1
bluecoat,2
bluetooth,14
bluetooth low energy,1
bm,339
bmc,7
bmc remedy,5
bmm,3
bmr,2
bms,207
bms operator,1
bo,2508
board bring up customization,1
board bringup,1
board design,3
board meeting,4
board support package,2
bobj,2
bodies,1
bods,1
body design,2
body shop,3
boe,1
boiler,8
boiler design,1
boiler engineer,1
boiler maintenance,1
boilers,1
bolt operator,5
bom,15
bom management,1
bom preparation,2
bomanalog,1
bonds,6
bonus,201
bonus act,1
book keeping,36
book publishing,2
book-keeping,8
booking,19
bookings,1
bookmarking,10
boomi,3
boost,3
boot loader,1
bootloader,1
bootstrap,203
bop,2
boq,22
boq preparation,13
borrowings,1
bosch,1
bot,75
botany,41
box,36
bpc,13
bpcl,1
bpel,9
bpharma,1
bpm,29
bpmn,1
bpo,1485
bpo associate,1
bpo backoffice,3
bpo based process,1
bpo call center,10
bpo call centre,2
bpo customer service,2
bpo executive,42
bpo fresher,92
bpo freshers,1
bpo hiring,29
bpo manager,1
bpo non voice,24
bpo operations,12
bpo operations management,1
bpo recruiter,4
bpo recruitment,17
bpo sales,11
bpo voice,48
bpos,8
bposeo,1
bpr,2
bpt,21
br,776
branch,171
branch accounting,3
branch administration,3
branch banking,55
branch banking operations,1
branch handling,9
branch head,18
branch incharge,3
branch management,43
branch manager,42
branch manager parcel service bangalore branch,1
branch offices,1
branch operations,19
branch operations executive,1
branch operations manager,1
branch reconciliation,3
branch sales,27
branch sales manager,10
brand,283
brand activation,6
brand ambassador,2
brand awareness,47
brand building,27
brand campaigns,4
brand communication,5
brand development,4
brand ing,2
brand launch,2
brand management,57
brand manager,10
brand markerting,1
brand marketing,11
brand marketing manager,1
brand positioning,5
brand promoter,1
brand promoti,23
brand promotion,21
brand sales manager,1
brand solutions,6
brand strategy,11
branded content,1
branding,115
brands,1
brazing,1
brc,1
brd,5
bread,1
breakdown,10
breakdown maintenance,8
breeding,2
brew,5
brewery,1
brf,2
brick work,2
bridge design,2
bridges,2
british airways,9
british telecom,11
broadband,4
broadband services,1
broadcasting,8
brocade,2
brochure design,2
brochures,15
broiler,1
broker,22
broker business,1
brokerage,8
brokers,3
broking,65
browser compatibility,6
browser testing,2
browsing,7
brs,7
bsc,94
bsc - it,1
bsc biotechnology,1
bsc fresher,2
bsc microbiology,2
bsc nursing,5
bscs,1
bse,119
bsf,2
bsms,7
bsp,68
bsp customization,1
bsp programming,1
bss,14
bss testing,1
bssclosure,1
bt,160
btec,62
btech,61
btech freshers,1
btech it,1
bteq,2
btl,43
btl activation,11
btl activities,3
bts,4
bucket,4
budget,295
budget analysis,2
budget development,6
budget management,5
budget preparation,5
budgetary control,5
budgeting,261
budgets,5
bug fixing,2
bug life cycle,1
bug reporting,5
bug tracking,8
bugzilla,8
build,389
build & release,2
build automation,9
build management,6
building,337
building automation,1
building construction,7
building maintenance,2
building management system,1
building material,18
building materials,4
building project,1
building relationship,1
buildings,8
buisness development,1
bulk cargo,2
bulk drug,6
bulk drugs,5
bulk hiring,63
bulk recruitment,3
bumper,1
burp,2
burp professional,1
bus,3972
bus body design,1
business,3955
business & process excellence,1
business accounting,1
business acquisition,19
business administration,30
business advisory,9
business advisory services,2
business alliances,5
business analysis,189
business analyst,179
business analysts,30
business analytics,33
business applications,20
business associate,22
business associate development,1
business associates,8
business awareness,2
business banking,13
business case,35
business case development,4
business central,1
business communication,11
business communication skills,2
business consultant,5
business consulting,9
business continuity,22
business continuity management,1
business continuity planning,3
business coordinator,1
business correspondence,1
business delivery,2
business design,4
business developer,4
business development,1526
business development associate,5
business development executive,239
business development head,1
business development intern,1
business development management,121
business development manager,149
business development manager for facilities services,1
business development officer,5
business development operations,4
business development representative,1
business economics,2
business editor,1
business english,1
business enhancement,3
business events,2
business excellence,16
business executive,789
business executivefield application engineer,1
business expansion,8
business finance,13
business forecasting,3
business generation,50
business growth,24
business head,18
business hr,13
business improvement,5
business information,1
business installment loan,1
business intelligence,175
business intelligence reporting,2
business law,1
business lead,6
business leadership,5
business legal,1
business loan,33
business loans,3
business management,47
business management skills,2
business manager,28
business modeling,20
business models,1
business negotiations,1
business networking,1
business objects,35
business officer,3
business operations,83
business operations analyst,1
business opportunity,11
business partner,26
business partnering,22
business pitch,1
business plan development,1
business planning,86
business presentations,5
business process,353
business process analysis,4
business process consulting,2
business process improvements,1
business process management,27
business process mapping,3
business process modeling,4
business process outsourcing,22
business process re - engineering,3
business process re-engineering,1
business process restructuring,2
business process testing,1
business process transformation,1
business reengineering,1
business relationship management,2
business reporting,12
business requirement analysis,1
business research,15
business research.,1
business restructuring,1
business rules,22
business service management,1
business services,34
business solutions,65
business strategy,94
business studies,24
business support,1
business system,7
business system analyst,2
business tie ups,3
business tools,1
business transformation,15
business understanding,10
business unit head,1
business valuation,5
business visa,1
business warehouse,1
business works,1
business writing,3
busy,4
buyer,20
buyer activities,13
buyer need,1
buyers,1
buying,19
buying house,2
bw,22
byjus,1
c,25114
c / c++,3
c net,5
c programming,15
c receivable,1
c sharp,7
c side,1
c#,526
c# . net,1
c# .net,1
c# azure,1
c# developer,8
c# net,1
c# programmer,1
c#.,87
c#. net,1
c#.net,85
c++,506
c++ programming,1
c.a.,1
c.r.m.,1
c2c,28
c2h,5
ca,10145
ca firm,1
ca fresher,17
ca gen,1
ca inter,9
ca intermediate,3
ca7,2
caa,1
cabin crew,12
cabin crew activities,4
cable,23
cable laying,2
cable manufacturing,1
cable schedule,4
cable schedules,1
cable sizing,2
cable tray,2
cables,11
cabling,3
cache,3
caching,1
cacti,1
cad,344
cad cam,7
cad designer,1
cad engineer,3
cad modeling,1
cad technician,1
cadence,15
cadence allegro,2
cadence virtuoso,10
cadworx,1
cae,10
cae engineer,1
cafe,23
cafe - manager,1
cafe coffee day,1
cafe management,3
cafe manager,2
cafeteria,8
cafeteria management,1
cake,68
cake php,8
cakephp,60
cakes,1
calculation,30
calculus,1
calibration,4
call,1469
call audit,5
call barging,1
call center,491
call center agent,1
call center bpo,3
call center executive,41
call center management,2
call center manager,1
call center operations,8
call centre,71
call centre executive,6
call centres,1
call coach,1
call coordinator,7
call handling,2
call manager,7
call manager express,1
call monitoring,12
call quality,8
call quality analyst,1
call quality specialist,1
callcenter bpo,1
caller,183
callidus,1
calling,742
calls,336
calypso,3
cam,284
camel,5
camera,7
camlin,1
camp,255
campaign,227
campaign analytics,1
campaign management,61
campaign manager,1
campaign planning,7
campaigns,158
campus,28
campus hiring,14
campus interviews,2
campus recruitment,13
campus sourcing,1
campus staffing,1
can,67
canada,4
canada shift,1
canalyzer,4
canape,1
cancellation,1
canine,1
canoe,10
canon,2
cant,9
canteen,3
canteen management,2
canvas,1
cap,302
capa,74
capability building,6
capacity,59
capacity analyst,1
capacity building,2
capacity management,21
capacity planning,34
capex,9
capgemini,5
capital & commodity,1
capital advisors,18
capital budgeting,4
capital equipment,7
capital equipment procurement,1
capital equipments,3
capital expenditure,3
capital goods,9
capital iq,4
capital market,38
capital markets,4
capital purchase,2
capitaliq,1
capitalisation,1
capl,6
capm,1
